<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
^BSESN,D,20130325,000000,18894.1300,18950.2200,18654.6100,18681.4200,12200,0
^BSESN,D,20130326,000000,18645.0900,18758.8800,18612.3700,18704.5300,12000,0
^BSESN,D,20130328,000000,18702.4600,18882.5400,18568.4300,18835.7700,14600,0
^BSESN,D,20130401,000000,18890.8100,18959.4800,18796.6000,18864.7500,8400,0
^BSESN,D,20130423,000000,19210.2600,19210.2600,19042.0800,19179.3600,8400,0
^BSESN,D,20130509,000000,20015.8600,20058.4800,19903.8300,19939.0400,5800,0
^BSESN,D,20130523,000000,19971.3700,20027.5600,19634.7900,19674.3300,15600,0
^BSESN,D,20130524,000000,19765.3200,19833.1400,19568.4900,19704.3300,11000,0
^BSESN,D,20130528,000000,20056.2800,20209.8200,19963.2300,20160.8200,8600,0
^BSESN,D,20130529,000000,20202.5100,20216.4900,20044.7400,20147.6400,8000,0
^BSESN,D,20130611,000000,19382.2200,19418.7400,19121.1800,19143.0000,14200,0
^BSESN,D,20130612,000000,19103.9600,19143.2400,18969.0800,19041.1300,10800,0
^BSESN,D,20130613,000000,18897.4900,18914.1300,18765.5300,18827.1600,13200,0
^BSESN,D,20130614,000000,18959.8300,19213.1000,18952.0900,19177.9300,10400,0
^BSESN,D,20130625,000000,18602.2500,18802.3100,18487.3000,18629.1500,10800,0
^BSESN,D,20130626,000000,18662.3700,18690.5000,18514.3500,18552.1200,9200,0
^BSESN,D,20130627,000000,18716.1100,18925.7500,18688.2800,18875.9500,10000,0
^BSESN,D,20130628,000000,19093.1800,19432.9400,19093.1800,19395.8100,14000,0
^BSESN,D,20130701,000000,19352.4800,19598.4300,19347.5700,19577.3900,8600,0
^BSESN,D,20130704,000000,19256.1200,19445.0200,19245.0100,19410.8400,9600,0
^BSESN,D,20130705,000000,19568.7900,19640.2700,19477.7400,19495.8200,10000,0
^BSESN,D,20130709,000000,19399.3700,19486.0000,19380.2500,19439.4800,6600,0
^BSESN,D,20130710,000000,19482.6600,19505.9300,19237.9100,19294.1200,7800,0
^BSESN,D,20130718,000000,19999.5100,20176.9000,19956.2000,20128.4100,9800,0
^BSESN,D,20130719,000000,20213.4500,20256.6000,20111.1300,20149.8500,11600,0
^BSESN,D,20130722,000000,20096.7100,20264.9000,20065.6900,20159.1200,9400,0
^BSESN,D,20130723,000000,20249.9800,20351.0600,20249.9800,20302.1300,7800,0
^BSESN,D,20130724,000000,20200.2000,20252.7000,19994.2500,20090.6800,8000,0
^BSESN,D,20130805,000000,19178.0600,19306.5100,19141.6800,19182.2600,12000,0
^BSESN,D,20130806,000000,19127.1000,19131.9200,18667.3000,18733.0400,13800,0
^BSESN,D,20130807,000000,18758.5300,18811.4600,18551.3500,18664.8800,12800,0
^BSESN,D,20130820,000000,18142.8300,18306.4600,17970.9800,18246.0400,18200,0
^BSESN,D,20130821,000000,18545.4400,18567.7000,17807.1900,17905.9100,17400,0
^BSESN,D,20130830,000000,18424.7200,18679.2600,18272.7600,18619.7200,18600,0
^BSESN,D,20130905,000000,18857.6000,19117.5200,18847.0200,18979.7600,13800,0
^BSESN,D,20130906,000000,19072.0200,19293.9600,18929.3800,19270.0600,15600,0
^BSESN,D,20130913,000000,19744.5400,19899.3700,19675.6800,19732.7600,10600,0
^BSESN,D,20130917,000000,19721.9000,19819.1000,19635.4400,19804.0300,9900,0
^BSESN,D,20130919,000000,20354.7300,20739.6900,20347.3000,20646.6400,18300,0
^BSESN,D,20130920,000000,20616.3500,20677.9900,20051.4300,20263.7100,13500,0
^BSESN,D,20130923,000000,20060.8200,20199.8100,19826.3000,19900.9600,11100,0
^BSESN,D,20130924,000000,19820.0300,20050.4200,19782.7800,19920.2100,10700,0
^BSESN,D,20130925,000000,19947.4300,19978.4900,19658.7400,19856.2400,13900,0
^BSESN,D,20130930,000000,19643.8900,19651.3100,19320.7300,19379.7700,10000,0
^BSESN,D,20131001,000000,19452.0500,19532.9100,19264.7200,19517.1500,9200,0
^BSESN,D,20131004,000000,19870.0000,20052.0000,19833.1700,19915.9500,12900,0
^BSESN,D,20131014,000000,20534.6100,20645.9400,20497.8800,20607.5400,8900,0
^BSESN,D,20131015,000000,20722.9000,20759.5800,20446.7300,20547.6200,13600,0
^BSESN,D,20131018,000000,20486.7800,20932.2300,20486.7800,20882.8900,15700,0
^BSESN,D,20131021,000000,20915.7600,20970.9200,20768.9900,20893.8900,12200,0
^BSESN,D,20131030,000000,20944.1400,21086.5900,20937.1200,21033.9700,10400,0
^BSESN,D,20131031,000000,21000.6000,21205.4400,20991.9800,21164.5200,11900,0
^BSESN,D,20131101,000000,21158.8100,21293.8800,21141.3200,21196.8100,10000,0
^BSESN,D,20131119,000000,20870.1600,20934.4000,20828.6900,20890.8200,11400,0
^BSESN,D,20131120,000000,20857.0100,20895.3000,20579.9400,20635.1300,8900,0
^BSESN,D,20131125,000000,20326.6600,20626.1500,20326.6600,20605.0800,8200,0
^BSESN,D,20131126,000000,20604.2700,20604.2700,20390.6200,20425.0200,10500,0
^BSESN,D,20131127,000000,20449.0000,20482.6700,20348.0600,20420.2600,7000,0
^BSESN,D,20131209,000000,21416.6700,21483.7400,21282.6400,21326.4200,13400,0
^BSESN,D,20131210,000000,21293.5800,21327.7500,21175.0800,21255.2600,17300,0
^BSESN,D,20131211,000000,21191.2700,21215.9400,21069.4500,21171.4100,10600,0
^BSESN,D,20131212,000000,21101.0500,21103.8000,20901.4700,20925.6100,9100,0
^BSESN,D,20131213,000000,20867.1700,20867.1700,20692.6700,20715.5800,9500,0
^BSESN,D,20131216,000000,20714.2600,20764.5200,20637.7700,20659.5200,10300,0
^BSESN,D,20131218,000000,20568.7000,20917.5700,20568.7000,20859.8600,8400,0
^BSESN,D,20131219,000000,20959.8000,21017.4500,20646.0300,20708.6200,10300,0
